year||author||book||fname||sentence_int||sentence_num||sentence||place||frequency
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||23||My father watched over me--he was glad that I should be a priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||24||But when I boasted or wept without a reason, he punished me more strictly than my brothers.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||25||That was right.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||26||After a time, I myself was allowed to go into the dead houses and search for metal.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||27||So I learned the ways of those houses--and if I saw bones, I was no longer afraid.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||28||The bones are light and old--sometimes they will fall into dust if you touch them.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||29||But that is a great sin.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||30||I was taught the chants and the spells--I was taught how to stop the running of blood from a wound and many secrets.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||31||A priest must know many secrets--that was what my father said.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||32||If the hunters think we do all things by chants and spells, they may believe so--it does not hurt them.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||33||I was taught how to read in the old books and how to make the old writings--that was hard and took a long time.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||34||My knowledge made me happy--it was like a fire in my heart.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||35||Most of all, I liked to hear of the Old Days and the stories of the gods.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||36||I asked myself many questions that I could not answer, but it was good to ask them.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||37||At night, I would lie awake and listen to the wind--it seemed to me that it was the voice of the gods as they flew through the air.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||38||We are not ignorant like the Forest People--our women spin wool on the wheel, our priests wear a white robe.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||20-39||39||We do not eat grubs from the tree, we have not forgotten the old writings, although they are hard to understand.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||40||Nevertheless, my knowledge and my lack of knowledge burned in me--I wished to know more.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||41||When I was a man at last, I came to my father and said, It is time for me to go on my journey.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||42||Give me your leave.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||43||He looked at me for a long time, stroking his beard, then he said at last, Yes.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||44||It is time.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||45||That night, in the house of the priesthood, I asked for and received purification.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||46||My body hurt but my spirit was a cool stone.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||47||It was my father himself who questioned me about my dreams.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||48||He bade me look into the smoke of the fire and see--I saw and told what I saw.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||49||It was what I have always seen--a river, and, beyond it, a great Dead Place and in it the gods walking.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||50||I have always thought about that.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||51||His eyes were stern when I told him--he was no longer my father but a priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||52||He said, This is a strong dream.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||53||It is mine, I said, while the smoke waved and my head felt light.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||54||They were singing the Star song in the outer chamber and it was like the buzzing of bees in my head.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||55||He asked me how the gods were dressed and I told him how they were dressed.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||56||We know how they were dressed from the book, but I saw them as if they were before me.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||57||When I had finished, he threw the sticks three times and studied them as they fell.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||58||This is a very strong dream, he said.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||40-59||59||It may eat you up.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||60||I am not afraid, I said and looked at him with both eyes.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||61||My voice sounded thin in my ears but that was because of the smoke.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||62||He touched me on the breast and the forehead.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||63||He gave me the bow and the three arrows.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||64||Take them, he said.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||65||It is forbidden to travel east.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||66||It is forbidden to cross the river.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||67||It is forbidden to go to the Place of the Gods.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||68||All these things are forbidden.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||69||All these things are forbidden, I said, but it was my voice that spoke and not my spirit.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||70||He looked at me again.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||71||My son, he said.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||72||Once I had young dreams.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||73||If your dreams do not eat you up, you may be a great priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||74||If they eat you, you are still my son.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||75||Now go on your journey.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||76||I went fasting, as is the law.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||77||My body hurt but not my heart.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||78||When the dawn came, I was out of sight of the village.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||60-79||79||I prayed and purified myself, waiting for a sign.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||80||The sign was an eagle.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||81||It flew east.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||82||Sometimes signs are sent by bad spirits.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||83||I waited again on the flat rock, fasting, taking no food.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||84||I was very still--I could feel the sky above me and the earth beneath.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||85||I waited till the sun was beginning to sink.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||86||Then three deer passed in the valley, going east--they did not wind me or see me.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||87||There was a white fawn with them--a very great sign.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||88||I followed them, at a distance, waiting for what would happen.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||89||My heart was troubled about going east, yet I knew that I must go.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||90||My head hummed with my fasting--I did not even see the panther spring upon the white fawn.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||91||But, before I knew it, the bow was in my hand.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||92||I shouted and the panther lifted his head from the fawn.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||93||It is not easy to kill a panther with one arrow but the arrow went through his eye and into his brain.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||94||He died as he tried to spring--he rolled over, tearing at the ground.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||95||Then I knew I was meant to go east--I knew that was my journey.||east--I||1
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||96||When the night came, I made my fire and roasted meat.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||97||It is eight suns journey to the east and a man passes by many Dead Places.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||98||The Forest People are afraid of them but I am not.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||80-99||99||Once I made my fire on the edge of a Dead Place at night and, next morning, in the dead house, I found a good knife, little rusted.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||100||That was small to what came afterward but it made my heart feel big.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||101||Always when I looked for game, it was in front of my arrow, and twice I passed hunting parties of the Forest People without their knowing.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||102||So I knew my magic was strong and my journey clean, in spite of the law.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||103||Toward the setting of the eighth sun, I came to the banks of the great river.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||104||It was half-a-days journey after I had left the god-road--we do not use the god-roads now for they are falling apart into great blocks of stone, and the forest is safer going.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||105||A long way off, I had seen the water through trees but the trees were thick.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||106||At last, I came out upon an open place at the top of a cliff.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||107||There was the great river below, like a giant in the sun.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||108||It is very long, very wide.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||109||It could eat all the streams we know and still be thirsty.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||110||Its name is Ou-dis-sun, the Sacred, the Long.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||111||No man of my tribe had seen it, not even my father, the priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||112||It was magic and I prayed.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||113||Then I raised my eyes and looked south.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||114||It was there, the Place of the Gods.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||115||How can I tell what it was like--you do not know.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||116||It was there, in the red light, and they were too big to be houses.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||117||It was there with the red light upon it, mighty and ruined.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||118||I knew that in another moment the gods would see me.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||100-119||119||I covered my eyes with my hands and crept back into the forest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||120||Surely, that was enough to do, and live.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||121||Surely it was enough to spend the night upon the cliff.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||122||The Forest People themselves do not come near.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||123||Yet, all through the night, I knew that I should have to cross the river and walk in the places of the gods, although the gods ate me up.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||124||My magic did not help me at all and yet there was a fire in my bowels, a fire in my mind.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||125||When the sun rose, I thought, My journey has been clean.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||126||Now I will go home from my journey.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||127||But, even as I thought so, I knew I could not.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||128||If I went to the place of the gods, I would surely die, but, if I did not go, I could never be at peace with my spirit again.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||129||It is better to lose ones life than ones spirit, if one is a priest and the son of a priest.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||130||Nevertheless, as I made the raft, the tears ran out of my eyes.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||131||The Forest People could have killed me without fight, if they had come upon me then, but they did not come.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||132||When the raft was made, I said the sayings for the dead and painted myself for death.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||133||My heart was cold as a frog and my knees like water, but the burning in my mind would not let me have peace.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||134||As I pushed the raft from the shore, I began my death song--I had the right.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||135||It was a fine song.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||136||I am John, son of John, I sang.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||137||My people are the Hill People.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||138||They are the men.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||120-139||139||I go into the Dead Places but I am not slain.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||140||I take the metal from the Dead Places but I am not blasted.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||141||I travel upon the god-roads and am not afraid.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||142||E-yah!||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||143||I have killed the panther, I have killed the fawn!||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||144||E-yah!||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||145||I have come to the great river.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||146||No man has come there before.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||147||It is forbidden to go east, but I have gone, forbidden to go on the great river, but I am there.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||148||Open your hearts, you spirits, and hear my song.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||149||Now I go to the place of the gods, I shall not return.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||150||My body is painted for death and my limbs weak, but my heart is big as I go to the place of the gods!||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||151||All the same, when I came to the Place of the Gods, I was afraid, afraid.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||152||The current of the great river is very strong--it gripped my raft with its hands.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||153||That was magic, for the river itself is wide and calm.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||154||I could feel evil spirits about me, in the bright morning; I could feel their breath on my neck as I was swept down the stream.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||155||Never have I been so much alone--I tried to think of my knowledge, but it was a squirrels heap of winter nuts.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||156||There was no strength in my knowledge any more and I felt small and naked as a new-hatched bird--alone upon the great river, the servant of the gods.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||157||Yet, after a while, my eyes were opened and I saw.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||158||I saw both banks of the river--I saw that once there had been god-roads across it, though now they were broken and fallen like broken vines.||NONE||0
1937||Benét, Stephen Vincent||By the Waters of Babylon||benetsv-thirteen01-watersofbabylon-00-t.txt||140-159||159||Very great they were, and wonderful and broken--broken in the time of the Great Burning when the fire fell out of the sky.||NONE||0
